香港(测试),#genre#
贵州卫视高清,http://192.168.1.1:4000/udp/239.77.0.230:5146
四川卫视高清,http://192.168.1.1:4000/udp/239.77.1.215:5146
四川卫视高清,http://192.168.1.1:4000/udp/239.77.0.159:5146
四川卫视超清 (CAVS),http://192.168.1.1:4000/udp/239.77.0.163:5146
河南卫视高清,http://192.168.1.1:4000/udp/239.77.1.229:5146
河南卫视高清,http://192.168.1.1:4000/udp/239.77.0.17:5146
云南卫视高清,http://192.168.1.1:4000/udp/239.253.43.37:5146
云南卫视高清,http://192.168.1.1:4000/udp/239.253.43.100:5146
重庆卫视高清,http://192.168.1.1:4000/udp/239.77.1.162:5146
重庆卫视高清 (CAVS),http://192.168.1.1:4000/udp/239.77.1.210:5146
重庆卫视高清,http://192.168.1.1:4000/udp/239.77.0.182:5146
河北卫视高清,http://192.168.1.1:4000/udp/239.77.1.214:5146
河北卫视高清,http://192.168.1.1:4000/udp/239.77.0.148:5146
东南卫视高清,http://192.168.1.1:4000/udp/239.77.1.104:5146
福建东南卫视高清,http://192.168.1.1:4000/udp/239.77.0.146:5146
广西卫视高清,http://192.168.1.1:4000/udp/239.253.43.36:5146
广西卫视高清,http://192.168.1.1:4000/udp/239.77.0.139:5146
吉林卫视高清,http://192.168.1.1:4000/udp/239.77.1.111:5146
吉林卫视高清,http://192.168.1.1:4000/udp/239.77.0.150:5146
海南卫视高清,http://192.168.1.1:4000/udp/239.253.43.35:5146
海南卫视高清,http://192.168.1.1:4000/udp/239.253.43.101:5146
甘肃卫视高清,http://192.168.1.1:4000/udp/239.77.0.189:5146
三沙卫视高清,http://192.168.1.1:4000/udp/239.253.43.113:5146
兵器科技高清,http://192.168.1.1:4000/udp/239.253.43.18:5146
兵器科技高清,http://192.168.1.1:4000/udp/239.253.43.9:5146
电视指南高清,http://192.168.1.1:4000/udp/239.253.43.19:5146
电视指南高清,http://192.168.1.1:4000/udp/239.253.43.10:5146
风云足球高清,http://192.168.1.1:4000/udp/239.253.43.20:5146
风云足球高清,http://192.168.1.1:4000/udp/239.253.43.14:5146
央视台球高清,http://192.168.1.1:4000/udp/239.253.43.21:5146
央视台球高清,http://192.168.1.1:4000/udp/239.253.43.11:5146
高尔夫网球高清,http://192.168.1.1:4000/udp/239.253.43.22:5146
高尔夫网球高清,http://192.168.1.1:4000/udp/239.253.43.12:5146
女性时尚高清,http://192.168.1.1:4000/udp/239.253.43.23:5146
女性时尚高清,http://192.168.1.1:4000/udp/239.253.43.8:5146
世界地理高清,http://192.168.1.1:4000/udp/239.253.43.24:5146
世界地理高清,http://192.168.1.1:4000/udp/239.253.43.7:5146
怀旧剧场高清,http://192.168.1.1:4000/udp/239.253.43.25:5146
怀旧剧场高清,http://192.168.1.1:4000/udp/239.253.43.5:5146
风云剧场高清,http://192.168.1.1:4000/udp/239.253.43.26:5146
风云剧场高清,http://192.168.1.1:4000/udp/239.253.43.16:5146
央视文化精品高清,http://192.168.1.1:4000/udp/239.253.43.27:5146
央视文化精品高清,http://192.168.1.1:4000/udp/239.253.43.13:5146
第一剧场高清,http://192.168.1.1:4000/udp/239.253.43.28:5146
第一剧场高清,http://192.168.1.1:4000/udp/239.253.43.15:5146
风云音乐高清,http://192.168.1.1:4000/udp/239.253.43.29:5146
风云音乐高清,http://192.168.1.1:4000/udp/239.253.43.6:5146
CHC高清电影,http://192.168.1.1:4000/udp/239.77.0.27:5146
金鹰卡通高清,http://192.168.1.1:4000/udp/239.77.0.164:5146
CETV-1高清,http://192.168.1.1:4000/udp/239.77.1.222:5146
中国教育-1高清,http://192.168.1.1:4000/udp/239.77.0.200:5146
CETV-4高清,http://192.168.1.1:4000/udp/239.77.1.200:5146
CETV-4高清,http://192.168.1.1:4000/udp/239.253.43.40:5146
CETV-4高清,http://192.168.1.1:4000/udp/239.253.43.114:5146
早期教育高清,http://192.168.1.1:4000/udp/239.77.0.180:5146
中国交通,http://192.168.1.1:4000/udp/239.77.1.249:5146
茶,http://192.168.1.1:4000/udp/239.77.0.15:5146
茶频道高清,http://192.168.1.1:4000/udp/239.77.1.207:5146
快乐垂钓,http://192.168.1.1:4000/udp/239.77.0.145:5146
快乐垂钓高清,http://192.168.1.1:4000/udp/239.77.1.119:5146
金鹰纪实高清,http://192.168.1.1:4000/udp/239.77.1.217:5146
金鹰纪实高清测试,http://192.168.1.1:4000/udp/239.77.0.160:5146
金鹰纪实超清测试 (CAVS),http://192.168.1.1:4000/udp/239.77.0.162:5146
上海纪实高清,http://192.168.1.1:4000/udp/239.77.1.216:5146
上海纪实高清,http://192.168.1.1:4000/udp/239.77.0.147:5146
求索纪录高清,http://192.168.1.1:4000/udp/239.77.0.21:5146
求索生活高清,http://192.168.1.1:4000/udp/239.77.0.153:5146
梨园频道高清,http://192.168.1.1:4000/udp/239.77.1.100:5146
